time(YYYY-MM-DD-HH);1-hour mean wind speed at 90m(m/s);Significant wave height(m);Zero-up-crossing period(s)
2014-01-01-00;16.5089;1.9692;4.2874
2014-01-01-01;16.5480;1.9711;4.2971
2014-01-01-02;16.4287;1.9925;4.3358
2014-01-01-03;16.0474;1.9929;4.3878
2014-01-01-04;15.4349;1.9750;4.4781
2014-01-01-05;14.5212;1.9229;4.5195
2014-01-01-06;13.4329;1.8036;4.4895
2014-01-01-07;12.7149;1.6536;4.3542
2014-01-01-08;12.7982;1.5265;4.1412
2014-01-01-09;13.9106;1.4767;3.8999
2014-01-01-10;13.9681;1.4596;3.7804
2014-01-01-11;15.0480;1.5073;3.7265
2014-01-01-12;15.3845;1.6094;3.8671
2014-01-01-13;15.1665;1.7124;4.0551
2014-01-01-14;15.2265;1.7874;4.1674
2014-01-01-15;15.7495;1.8243;4.1553
2014-01-01-16;15.8819;1.8186;4.1187
2014-01-01-17;16.3260;1.8106;4.0591
2014-01-01-18;17.0527;1.8403;4.0166
2014-01-01-19;17.4986;1.8791;4.0614
2014-01-01-20;17.7938;1.9250;4.0957
2014-01-01-21;18.6539;2.0135;4.1265
2014-01-01-22;20.2853;2.2035;4.1914
2014-01-01-23;21.6002;2.4209;4.3551
2014-01-02-00;22.7917;2.6375;4.4804
2014-01-02-01;24.3387;2.8677;4.5759
2014-01-02-02;23.1832;2.9570;4.7863
2014-01-02-03;21.8190;2.8643;4.8361
2014-01-02-04;21.1749;2.7511;4.7995
2014-01-02-05;19.2875;2.5925;4.7782
2014-01-02-06;18.2114;2.4571;4.7622
2014-01-02-07;16.1250;2.2848;4.7865
2014-01-02-08;16.0762;2.1819;4.7239
2014-01-02-09;15.6821;2.2309;4.8721
2014-01-02-10;15.4781;2.4100;5.1295
2014-01-02-11;15.5804;2.4907;5.2624
2014-01-02-12;15.6087;2.5101;5.2939
2014-01-02-13;14.7267;2.4565;5.3258
2014-01-02-14;13.2078;2.3010;5.3262
2014-01-02-15;12.4447;2.1311;5.2273
2014-01-02-16;12.4640;2.0463;5.1386
2014-01-02-17;12.0544;2.0211;5.1191
2014-01-02-18;11.5471;1.9833;5.1297
2014-01-02-19;11.3788;1.9161;5.0732
2014-01-02-20;11.5293;1.8387;4.9117
2014-01-02-21;12.0628;1.7735;4.6751
2014-01-02-22;12.9067;1.7396;4.4366
2014-01-02-23;12.6664;1.6949;4.3539
2014-01-03-00;13.2024;1.6591;4.2406
2014-01-03-01;14.1439;1.6742;4.1113
2014-01-03-02;14.6396;1.7011;4.0678
2014-01-03-03;15.2811;1.7245;4.0243
2014-01-03-04;16.4932;1.7851;4.0015
2014-01-03-05;17.0633;1.8540;4.0317
2014-01-03-06;18.1889;1.9510;4.0744
2014-01-03-07;18.3217;2.0215;4.1576
2014-01-03-08;18.9417;2.1074;4.2107
2014-01-03-09;18.9949;2.1988;4.3593
2014-01-03-10;17.7451;2.2781;4.5833
2014-01-03-11;15.7242;2.2744;4.8305
2014-01-03-12;14.3488;2.1545;4.8987
2014-01-03-13;15.4858;2.0454;4.6012
2014-01-03-14;16.9982;2.0713;4.3688
2014-01-03-15;17.7218;2.1939;4.4302
2014-01-03-16;18.6695;2.4511;4.6762
2014-01-03-17;19.5895;2.7431;4.9311
2014-01-03-18;20.3912;3.0424;5.1663
