x,y,z
1.0,1.5,13.65
1.0,1.5,13.700000000000001
1.0,1.5,13.75
1.0,1.5,13.8
1.0,1.5,13.850000000000001
1.0,1.5,13.9
1.0,1.5,13.950000000000001
1.0,1.5,14.0
1.0,1.5,14.05
1.0,1.5,14.100000000000001
1.0,1.5,14.15
1.0,1.5,14.200000000000001
1.0,1.5,14.25
1.0,1.5,14.3
1.0,1.5,14.350000000000001
1.0,2.0,13.55
1.0,2.0,13.600000000000001
1.0,2.0,13.65
1.0,2.0,13.700000000000001
1.0,2.0,13.75
1.0,2.0,13.8
1.0,2.0,13.850000000000001
1.0,2.0,13.9
1.0,2.0,13.950000000000001
1.0,2.0,14.0
1.0,2.0,14.05
1.0,2.0,14.100000000000001
1.0,2.0,14.15
1.0,2.0,14.200000000000001
1.0,2.0,14.25
1.0,2.0,14.3
1.0,2.0,14.350000000000001
1.0,2.0,14.4
1.0,2.0,14.450000000000001
1.0,2.5,13.5
1.0,2.5,13.55
1.0,2.5,13.600000000000001
1.0,2.5,13.65
1.0,2.5,13.700000000000001
1.0,2.5,13.75
1.0,2.5,13.8
1.0,2.5,13.850000000000001
1.0,2.5,13.9
1.0,2.5,13.950000000000001
1.0,2.5,14.0
1.0,2.5,14.05
1.0,2.5,14.100000000000001
1.0,2.5,14.15
1.0,2.5,14.200000000000001
1.0,2.5,14.25
1.0,2.5,14.3
1.0,2.5,14.350000000000001
1.0,2.5,14.4
1.0,2.5,14.450000000000001
1.0,2.5,14.5
1.0,3.0,13.450000000000001
1.0,3.0,13.5
1.0,3.0,13.55
1.0,3.0,13.600000000000001
1.0,3.0,13.65
1.0,3.0,13.700000000000001
1.0,3.0,13.75
1.0,3.0,13.8
1.0,3.0,13.850000000000001
1.0,3.0,13.9
1.0,3.0,13.950000000000001
1.0,3.0,14.0
1.0,3.0,14.05
1.0,3.0,14.100000000000001
1.0,3.0,14.15
1.0,3.0,14.200000000000001
1.0,3.0,14.25
1.0,3.0,14.3
1.0,3.0,14.350000000000001
1.0,3.0,14.4
1.0,3.0,14.450000000000001
1.0,3.0,14.5
1.0,3.0,14.55
1.0,3.5,13.450000000000001
1.0,3.5,13.5
1.0,3.5,13.55
1.0,3.5,13.600000000000001
1.0,3.5,13.65
1.0,3.5,13.700000000000001
1.0,3.5,13.75
1.0,3.5,13.8
1.0,3.5,13.850000000000001
1.0,3.5,13.9
1.0,3.5,13.950000000000001
1.0,3.5,14.0
1.0,3.5,14.05
1.0,3.5,14.100000000000001
1.0,3.5,14.15
1.0,3.5,14.200000000000001
1.0,3.5,14.25
1.0,3.5,14.3
1.0,3.5,14.350000000000001
1.0,3.5,14.4
1.0,3.5,14.450000000000001
1.0,3.5,14.5
1.0,3.5,14.55
1.0,4.0,13.450000000000001
1.0,4.0,13.5
1.0,4.0,13.55
1.0,4.0,13.600000000000001
1.0,4.0,13.65
1.0,4.0,13.700000000000001
1.0,4.0,13.75
1.0,4.0,13.8
1.0,4.0,13.850000000000001
1.0,4.0,13.9
1.0,4.0,13.950000000000001
1.0,4.0,14.0
1.0,4.0,14.05
1.0,4.0,14.100000000000001
1.0,4.0,14.15
1.0,4.0,14.200000000000001
1.0,4.0,14.25
1.0,4.0,14.3
1.0,4.0,14.350000000000001
1.0,4.0,14.4
1.0,4.0,14.450000000000001
1.0,4.0,14.5
1.0,4.0,14.55
1.0,4.5,13.450000000000001
1.0,4.5,13.5
1.0,4.5,13.55
1.0,4.5,13.600000000000001
1.0,4.5,13.65
