Hs,Tz
0.9,2.1
0.9,2.2
0.9,2.3
0.9,2.4
0.9,2.5
0.9,2.6
0.9,2.7
0.9,2.8
0.9,2.9
0.9,3
0.9,3.1
0.9,3.2
0.9,3.3
0.9,3.4
0.9,3.5
0.9,3.6
0.9,3.7
0.9,3.8
0.9,3.9
0.9,4
0.9,4.1
0.9,4.2
0.9,4.3
0.9,4.4
0.9,4.5
0.9,4.6
0.9,4.7
0.9,4.8
0.9,4.9
0.9,5
0.9,5.1
0.9,5.2
0.9,5.3
0.9,5.4
0.9,5.5
0.9,5.6
0.9,5.7
0.9,5.8
0.9,5.9
0.9,6
0.9,6.1
0.9,6.2
0.9,6.3
0.9,6.4
0.9,6.5
0.9,6.6
0.9,6.7
0.9,6.8
0.9,6.9
0.9,7
0.9,7.1
0.9,7.2
0.9,7.3
0.9,7.4
0.9,7.5
0.9,7.6
0.9,7.7
0.9,7.8
0.9,7.9
0.9,8
0.9,8.1
0.9,8.2
0.9,8.3
0.9,8.4
0.9,8.5
0.9,8.6
0.9,8.7
0.9,8.8
0.9,8.9
0.9,9
0.9,9.1
0.9,9.2
0.9,9.3
0.9,9.4
0.9,9.5
0.9,9.6
0.9,9.7
0.9,9.8
0.9,9.9
0.9,10
0.9,10.1
0.9,10.2
0.9,10.3
1,10.4
1,10.5
1,10.6
1,10.7
1,10.8
1,10.9
1,11
1.1,11.1
1.1,11.2
1.1,11.3
1.2,11.4
1.2,11.5
1.3,11.6
1.4,11.7
1.4,11.8
1.5,11.9
1.6,12
1.7,12.1
1.8,12.2
1.9,12.2
2,12.3
2.1,12.4
2.2,12.4
2.3,12.5
2.4,12.5
2.5,12.5
2.6,12.6
2.7,12.6
2.8,12.6
2.9,12.7
3,12.7
3.1,12.7
3.2,12.7
3.3,12.8
3.4,12.8
3.5,12.8
3.6,12.8
3.7,12.8
3.8,12.8
3.9,12.9
4,12.9
4.1,12.9
4.2,12.9
4.3,12.9
4.4,12.9
4.5,12.9
4.6,12.9
4.7,13
4.8,13
4.9,13
5,13
5.1,13
5.2,13
5.3,13
5.4,13
5.5,13.1
5.6,13.1
5.7,13.1
5.8,13.1
5.9,13.1
6,13.1
6.1,13.1
6.2,13.2
6.3,13.2
6.4,13.2
6.5,13.2
6.6,13.2
6.7,13.2
6.8,13.2
6.9,13.3
7,13.3
7.1,13.3
7.2,13.3
7.3,13.3
7.4,13.3
7.5,13.4
7.6,13.4
7.7,13.4
7.8,13.4
7.9,13.4
8,13.5
8.1,13.5
8.2,13.5
8.3,13.5
8.4,13.5
8.5,13.6
8.6,13.6
8.7,13.6
8.8,13.6
8.9,13.6
9,13.7
9.1,13.7
9.2,13.7
9.3,13.7
9.4,13.7
9.5,13.8
9.6,13.8
9.7,13.8
9.8,13.8
9.9,13.8
10,13.9
10.1,13.9
10.2,13.9
10.3,13.9
10.4,14
10.5,14
10.6,14
10.7,14
10.8,14
10.9,14.1
11,14.1
11.1,14.1
11.2,14.1
11.3,14.1
11.4,14.2
11.5,14.2
11.6,14.2
11.7,14.2
11.8,14.2
11.9,14.3
12,14.3
12.1,14.3
12.2,14.3
12.3,14.4
12.4,14.4
12.5,14.4
12.6,14.4
12.7,14.4
12.8,14.5
12.9,14.5
13,14.5
13.1,14.5
13.2,14.5
13.3,14.5
13.4,14.6
13.5,14.6
13.6,14.6
13.7,14.6
13.8,14.6
13.9,14.6
14,14.7
14.1,14.7
14.2,14.7
14.3,14.7
14.4,14.7
14.5,14.7
14.6,14.7
14.7,14.8
14.8,14.8
14.9,14.8
15,14.8
15.1,14.8
15.2,14.8
15.3,14.8
15.4,14.8
15.5,14.8
15.6,14.8
15.7,14.8
15.8,14.8
15.9,14.8
16,14.8
16.1,14.8
16.2,14.8
16.3,14.8
16.4,14.8
16.5,14.8
16.6,14.8
16.7,14.8
16.8,14.8
16.9,14.7
17,14.7
17.1,14.7
17.2,14.6
17.3,14.5
17.3,14.4
17.3,14.3
17.3,14.2
17.3,14.1
17.2,14
17.2,13.9
17.1,13.8
17.1,13.7
17,13.6
16.9,13.5
16.8,13.4
16.7,13.3
16.6,13.2
16.5,13.1
16.4,13
16.3,13
16.2,12.9
16.1,12.8
16,12.7
15.9,12.6
15.8,12.6
15.7,12.5
15.6,12.4
15.5,12.4
15.4,12.3
15.3,12.2
15.2,12.1
15.1,12.1
15,12
14.9,11.9
14.8,11.9
14.7,11.8
14.6,11.7
14.5,11.7
14.4,11.6
14.3,11.5
14.2,11.5
14.1,11.4
14,11.4
13.9,11.3
13.8,11.2
13.7,11.2
13.6,11.1
13.5,11
13.4,11
13.3,10.9
13.2,10.8
13.1,10.8
13,10.7
12.9,10.7
12.8,10.6
12.7,10.5
12.6,10.5
12.5,10.4
12.4,10.3
12.3,10.3
12.2,10.2
12.1,10.2
12,10.1
11.9,10
11.8,10
11.7,9.9
11.6,9.9
11.5,9.8
11.4,9.7
11.3,9.7
11.2,9.6
11.1,9.5
11,9.5
10.9,9.4
10.8,9.3
10.7,9.3
10.6,9.2
10.5,9.2
10.4,9.1
10.3,9
10.2,9
10.1,8.9
10,8.8
9.9,8.8
9.8,8.7
9.7,8.6
9.6,8.6
9.5,8.5
9.4,8.4
9.3,8.4
9.2,8.3
9.1,8.2
9,8.2
8.9,8.1
8.8,8
8.7,8
8.6,7.9
8.5,7.8
8.4,7.8
8.3,7.7
8.2,7.6
8.1,7.6
8,7.5
7.9,7.4
7.8,7.4
7.7,7.3
7.6,7.2
7.5,7.2
7.4,7.1
7.3,7
7.2,6.9
7.1,6.9
7,6.8
6.9,6.7
6.8,6.6
6.7,6.6
6.6,6.5
6.5,6.4
6.4,6.4
6.3,6.3
6.2,6.2
6.1,6.1
6,6.1
5.9,6
5.8,5.9
5.7,5.8
5.6,5.8
5.5,5.7
5.4,5.6
5.3,5.5
5.2,5.4
5.1,5.4
5,5.3
4.9,5.2
4.8,5.1
4.7,5.1
4.6,5
4.5,4.9
4.4,4.8
4.3,4.7
4.2,4.7
4.1,4.6
4,4.5
3.9,4.4
3.8,4.3
3.7,4.3
3.6,4.2
3.5,4.1
3.4,4
3.3,3.9
3.2,3.8
3.1,3.8
3,3.7
2.9,3.6
2.8,3.5
2.7,3.4
2.6,3.4
2.5,3.3
2.4,3.2
2.3,3.1
2.2,3
2.1,3
2,2.9
1.9,2.8
1.8,2.7
1.7,2.6
1.6,2.5
1.5,2.5
1.4,2.4
1.3,2.3
1.2,2.2
1.1,2.2
1,2.1
0.9,2.1
